Region,Drowning,Sickness and lack of access to medicines,Starvation,Unknown,Vehicle Accident,Total
Horn of Africa,0.618251928,0.206940874,0.066838046,0.035989717,0.071979434,778
Mediterranean,0.920963426,0.000892061,0,0.078144514,0,5605
North Africa,0.017316017,0.536435786,0.251082251,0.0501443,0.145021645,2772
Sub-Saharan Africa,0.358013121,0.238987816,0.050609185,0.066541706,0.285848172,1067
US-Mexico Border,0.287944493,0.003469211,0,0.656548135,0.052038161,1153
