Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
45939,US-Mexico Border,19-Sep-18,2018,Sep,4,,4,3,,,,Vehicle Accident,"State Route 79 near milepost 122.3, south of Forence, Arizona, USA","AP, Del Marva Now","33.006477473452, -111.374376896790",Central America to US,"https://abcn.ws/2xJVjkH, https://bit.ly/2xrY2zR, https://delmarvane.ws/2Dkz37f",Northern America,3
46044,US-Mexico Border,19-Sep-18,2018,Sep,1,,1,2,,1,,Uknown,"Sawtooth Mountains, California, USA",Noticias Ya,"32.869641713199, -116.349275353910",Central America to US,https://bit.ly/2PNC6df,Northern America,1
51339,North Africa,19-Sep-18,2018,Sep,3,,3,,1,1,1,Sickness and lack of access to medicines,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"19.635357000000, 27.103538000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
51340,Sub-Saharan Africa,19-Sep-18,2018,Sep,2,,2,,2,,1,Uknown,"Bouake, Cote d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4mi),"7.683333000000, -5.016667000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51341,Sub-Saharan Africa,19-Sep-18,2018,Sep,2,,2,,1,1,2,Vehicle Accident,"Segou, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),"13.450000000000, -6.266667000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
45932,Mediterranean,18-Sep-18,2018,Sep,1,,1,,,1,,Drowning,"50 nautical miles south of Port of Motril, Granada, Spain","El País, Granada Hoy","36.413971904222, -3.480957442578",Western Mediterranean,"https://bit.ly/2MThY3S, https://bit.ly/2MPNWh6",Uncategorized,3
51334,Sub-Saharan Africa,18-Sep-18,2018,Sep,1,,1,,,,,Shot,"Kayes, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),"14.450000000000, -11.433333000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51335,Sub-Saharan Africa,18-Sep-18,2018,Sep,1,,1,,1,,,Sickness and lack of access to medicines,"Dakar, Senegal",Mixed Migration Monitoring Mechanism Initiative (4mi),"14.692778000000, -17.446667000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51336,Sub-Saharan Africa,18-Sep-18,2018,Sep,1,,1,,1,,,Uknown,"Cotonou, Benin",Mixed Migration Monitoring Mechanism Initiative (4mi),"6.366667000000, 2.433333000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51337,Sub-Saharan Africa,18-Sep-18,2018,Sep,1,,1,,,1,,Sickness and lack of access to medicines,"Conakry, Guinea",Mixed Migration Monitoring Mechanism Initiative (4mi),"9.516667000000, -13.700000000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51338,Sub-Saharan Africa,18-Sep-18,2018,Sep,1,,1,,,1,1,Dehydration,"Sevare, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),"14.533333000000, -4.100000000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
45920,Mediterranean,17-Sep-18,2018,Sep,2,1,3,16,3,,,Drowning,"Bağlar Bay, Bodrum, province of Muğla, Turkey",Turkish Coast Guard via IOM Turkey,"37.006515703833, 27.431140814819",Eastern Mediterranean,"https://bit.ly/2OsaqGQ, https://bit.ly/2xwUg7T, https://bit.ly/2RgmaBy",Uncategorized,5
45930,North Africa,17-Sep-18,2018,Sep,3,,3,,,3,,Uknown,"100KM from Jaghboub, Libya, near border with Egypt",Masress,"29.732195242955, 24.810723377344",,https://bit.ly/2QG50JN,Northern Africa,1
45931,Mediterranean,17-Sep-18,2018,Sep,1,,1,,1,,,Drowning,"Herradura Bay, Almuñécar, Granada, Spain","El País, Granada Hoy","36.727135137532, -3.747944917041",Western Mediterranean,"https://bit.ly/2MThY3S, https://bit.ly/2MPNWh6",Uncategorized,3
